frame,body_landmark,x,y,z,visibility,hand_label
3,HAND_19,0.839283,0.899605,-0.161137,0.0,Right
3,HAND_20,0.857177,0.847684,-0.175901,0.0,Right
3,HAND_0,0.174223,1.108722,1e-06,0.0,Left
3,HAND_1,0.235982,1.072119,-0.041233,0.0,Left
3,HAND_2,0.278627,1.006326,-0.065859,0.0,Left
3,HAND_3,0.310514,0.941885,-0.086423,0.0,Left
3,HAND_4,0.340881,0.87996,-0.108512,0.0,Left
3,HAND_5,0.228412,0.899437,-0.06019,0.0,Left
3,HAND_6,0.247337,0.800004,-0.094608,0.0,Left
3,HAND_7,0.258052,0.734939,-0.117979,0.0,Left
3,HAND_8,0.265555,0.679766,-0.134147,0.0,Left
3,HAND_9,0.182156,0.896298,-0.061453,0.0,Left
3,HAND_10,0.187466,0.788852,-0.092178,0.0,Left
3,HAND_11,0.187872,0.716736,-0.115204,0.0,Left
3,HAND_12,0.187606,0.653755,-0.132516,0.0,Left
3,HAND_13,0.138288,0.920806,-0.066298,0.0,Left
3,HAND_14,0.128617,0.82356,-0.097482,0.0,Left
3,HAND_15,0.121644,0.756361,-0.119321,0.0,Left
3,HAND_16,0.119293,0.697562,-0.134632,0.0,Left
3,HAND_17,0.098973,0.96604,-0.073858,0.0,Left
3,HAND_18,0.065401,0.904664,-0.10566,0.0,Left
3,HAND_19,0.044875,0.857503,-0.122656,0.0,Left
3,HAND_20,0.0301,0.80903,-0.133591,0.0,Left
4,NOSE,0.432942,0.683321,-0.959359,0.999973,N/A
4,LEFT_EYE_INNER,0.466175,0.626856,-0.915028,0.999965,N/A
4,LEFT_EYE,0.484212,0.628657,-0.915153,0.999959,N/A
4,LEFT_EYE_OUTER,0.500096,0.63154,-0.91502,0.999957,N/A
4,RIGHT_EYE_INNER,0.408417,0.62622,-0.898031,0.999956,N/A
4,RIGHT_EYE,0.388829,0.629026,-0.898115,0.999943,N/A
4,RIGHT_EYE_OUTER,0.373598,0.63214,-0.898364,0.999945,N/A
4,LEFT_EAR,0.527504,0.665405,-0.590421,0.999965,N/A
4,RIGHT_EAR,0.353953,0.671132,-0.511359,0.999946,N/A
4,MOUTH_LEFT,0.468124,0.759326,-0.831828,0.99994,N/A
4,MOUTH_RIGHT,0.401227,0.754769,-0.812068,0.99994,N/A
4,LEFT_SHOULDER,0.636924,0.964515,-0.410389,0.997727,N/A
4,RIGHT_SHOULDER,0.259275,0.956489,-0.258726,0.996563,N/A
4,LEFT_ELBOW,0.778535,1.309522,-1.023196,0.624857,N/A
4,RIGHT_ELBOW,0.110959,1.358724,-0.883577,0.64949,N/A
4,LEFT_WRIST,0.752857,1.025194,-1.674459,0.963078,N/A
4,RIGHT_WRIST,0.134227,1.06941,-1.685186,0.963592,N/A
4,LEFT_PINKY,0.781251,0.93195,-1.785795,0.956561,N/A
4,RIGHT_PINKY,0.139221,0.959725,-1.822221,0.949756,N/A
4,LEFT_INDEX,0.781196,0.896822,-1.704883,0.966145,N/A
4,RIGHT_INDEX,0.161967,0.903864,-1.743667,0.961335,N/A
